id_evento,archivo_principal,categoria,origen,fecha_raw,lat,lon,dispositivo,duracion_seg,fecha_dt,hora,dia_semana,cantidad,dia_nombre_es
IMG_3497,IMG_3497.xmp,Imagen,Interno (Captura Propia),2025:01:01 00:02:55,-37.08176666666667,-56.82943055555556,Apple iPhone 15,,2025-01-01 00:02:55,0.0,Wednesday,1,Miércoles
IMG_3502,IMG_3502.HEIC,Video,Interno (Captura Propia),2025:01:01 06:52:57,-37.10484722222223,-56.84365833333334,Apple iPhone 15,1 sec 538 ms,2025-01-01 06:52:57,6.0,Wednesday,1,Miércoles
IMG_3504,IMG_3504.HEIC,Video,Interno (Captura Propia),2025:01:01 07:56:41,-37.08203611111112,-56.82915833333334,Apple iPhone 15,,2025-01-01 07:56:41,7.0,Wednesday,1,Miércoles
IMG_3505,IMG_3505.HEIC,Video,Interno (Captura Propia),2025:01:01 07:59:54,-37.08218333333334,-56.82920555555556,Apple iPhone 15,1 sec 465 ms,2025-01-01 07:59:54,7.0,Wednesday,1,Miércoles
IMG_3508,IMG_3508.xmp,Video,Interno (Captura Propia),2025:01:01 08:02:53,-37.08224166666667,-56.82911666666667,Apple iPhone 15,1 sec 798 ms,2025-01-01 08:02:53,8.0,Wednesday,1,Miércoles
IMG_3500,IMG_3500.mov,Video,Interno (Captura Propia),2025-01-01 09:52:49,-37.10443888888889,-56.84402777777778,Apple iPhone 15,800 ms,2025-01-01 09:52:49,9.0,Wednesday,1,Miércoles
IMG_3501,IMG_3501.mov,Video,Interno (Captura Propia),2025-01-01 09:52:55,-37.10485555555556,-56.84366666666667,Apple iPhone 15,705 ms,2025-01-01 09:52:55,9.0,Wednesday,1,Miércoles
IMG_3506,IMG_3506.mov,Video,Interno (Captura Propia),2025-01-01 10:59:57,-37.08218333333334,-56.82920555555556,Apple iPhone 15,1 sec 933 ms,2025-01-01 10:59:57,10.0,Wednesday,1,Miércoles
IMG_3507,IMG_3507.mov,Video,Interno (Captura Propia),2025-01-01 11:02:49,-37.08200833333333,-56.829169444444446,Apple iPhone 15,1 sec 733 ms,2025-01-01 11:02:49,11.0,Wednesday,1,Miércoles
IMG_3512,IMG_3512.mov,Video,Interno (Captura Propia),2025:01:04 09:38:05,-34.869816666666665,-58.04158055555556,Apple iPhone 15,,2025-01-04 09:38:05,9.0,Saturday,1,Sábado
IMG_3513,IMG_3513.HEIC,Video,Interno (Captura Propia),2025:01:04 09:38:07,-34.869816666666665,-58.04158055555556,Apple iPhone 15,,2025-01-04 09:38:07,9.0,Saturday,1,Sábado
IMG_3514,IMG_3514.HEIC,Video,Interno (Captura Propia),2025:01:04 21:15:44,-34.5722,-58.431263888888886,Apple iPhone 15,,2025-01-04 21:15:44,21.0,Saturday,1,Sábado
IMG_3515,IMG_3515.HEIC,Video,Interno (Captura Propia),2025:01:04 21:15:45,-34.572225,-58.43128611111111,Apple iPhone 15,,2025-01-04 21:15:45,21.0,Saturday,1,Sábado
IMG_3516,IMG_3516.mov,Video,Interno (Captura Propia),2025:01:04 22:12:32,-34.57076666666667,-58.43111666666666,Apple iPhone 15,,2025-01-04 22:12:32,22.0,Saturday,1,Sábado
IMG_3517,IMG_3517.mov,Video,Interno (Captura Propia),2025:01:05 12:05:12,-34.599961111111114,-58.39110555555556,Apple iPhone 15,,2025-01-05 12:05:12,12.0,Sunday,1,Domingo
IMG_3518,IMG_3518.HEIC,Video,Interno (Captura Propia),2025:01:05 12:08:39,-34.599833333333336,-58.39191944444445,Apple iPhone 15,,2025-01-05 12:08:39,12.0,Sunday,1,Domingo
IMG_3522,IMG_3522.xmp,Video,Interno (Captura Propia),2025:01:06 11:32:37,-34.59683888888889,-58.37707222222223,Apple iPhone 15,1 sec 105 ms,2025-01-06 11:32:37,11.0,Monday,1,Lunes
IMG_3523,IMG_3523.xmp,Video,Interno (Captura Propia),2025:01:06 11:32:42,-34.59679166666667,-58.37743055555556,Apple iPhone 15,1 sec 571 ms,2025-01-06 11:32:42,11.0,Monday,1,Lunes
IMG_3529,IMG_3529.mov,Video,Interno (Captura Propia),2025:01:06 19:35:44,-34.869822222222226,-58.041575,Apple iPhone 15,,2025-01-06 19:35:44,19.0,Monday,1,Lunes
IMG_3530,IMG_3530.xmp,Video,Interno (Captura Propia),2025:01:06 19:58:46,-34.869883333333334,-58.04133333333333,Apple iPhone 15,,2025-01-06 19:58:46,19.0,Monday,1,Lunes
IMG_3532,IMG_3532.xmp,Video,Interno (Captura Propia),2025:01:07 19:22:01,-34.59998055555556,-58.391025,Apple iPhone 15,,2025-01-07 19:22:01,19.0,Tuesday,1,Martes
IMG_3533,IMG_3533.xmp,Video,Interno (Captura Propia),2025:01:08 20:07:51,-34.591075000000004,-58.43579999999999,Apple iPhone 15,,2025-01-08 20:07:51,20.0,Wednesday,1,Miércoles
IMG_3534,IMG_3534.xmp,Video,Interno (Captura Propia),2025:01:08 20:12:16,-34.59125,-58.43607222222222,Apple iPhone 15,1 sec 333 ms,2025-01-08 20:12:16,20.0,Wednesday,1,Miércoles
IMG_3535,IMG_3535.xmp,Video,Interno (Captura Propia),2025:01:08 20:12:18,-34.59125,-58.43607222222222,Apple iPhone 15,,2025-01-08 20:12:18,20.0,Wednesday,1,Miércoles
IMG_3540,IMG_3540.xmp,Video,Interno (Captura Propia),2025:01:10 18:20:10,-34.55692777777777,-58.45044722222222,Apple iPhone 15,,2025-01-10 18:20:10,18.0,Friday,1,Viernes
IMG_3542,IMG_3542.HEIC,Video,Interno (Captura Propia),2025:01:10 18:20:17,-34.55695,-58.45044444444445,Apple iPhone 15,1 sec 875 ms,2025-01-10 18:20:17,18.0,Friday,1,Viernes
IMG_3541,IMG_3541.xmp,Video,Interno (Captura Propia),2025-01-10 21:20:18,-34.55695,-58.45044444444445,Apple iPhone 15,2 sec 100 ms,2025-01-10 21:20:18,21.0,Friday,1,Viernes
IMG_3547,IMG_3547.xmp,Video,Interno (Captura Propia),2025:01:10 21:25:05,-34.60055555555556,-58.39113888888889,Apple iPhone 15,,2025-01-10 21:25:05,21.0,Friday,1,Viernes
IMG_3549,IMG_3549.mov,Video,Interno (Captura Propia),2025:01:10 21:25:10,-34.600497222222224,-58.39109166666667,Apple iPhone 15,,2025-01-10 21:25:10,21.0,Friday,1,Viernes
IMG_3550,IMG_3550.xmp,Video,Interno (Captura Propia),2025:01:10 21:25:16,-34.60044722222222,-58.391077777777774,Apple iPhone 15,2 sec 793 ms,2025-01-10 21:25:16,21.0,Friday,1,Viernes
IMG_3551,IMG_3551.xmp,Video,Interno (Captura Propia),2025:01:10 21:25:18,-34.60044722222222,-58.391077777777774,Apple iPhone 15,2 sec 145 ms,2025-01-10 21:25:18,21.0,Friday,1,Viernes
IMG_3552,IMG_3552.HEIC,Video,Interno (Captura Propia),2025:01:10 21:37:25,-34.60024166666667,-58.39104722222222,Apple iPhone 15,,2025-01-10 21:37:25,21.0,Friday,1,Viernes
IMG_3553,IMG_3553.HEIC,Video,Interno (Captura Propia),2025:01:10 21:37:28,-34.600147222222226,-58.391013888888885,Apple iPhone 15,,2025-01-10 21:37:28,21.0,Friday,1,Viernes
IMG_3554,IMG_3554.HEIC,Video,Interno (Captura Propia),2025:01:10 21:37:31,-34.600125,-58.39100555555555,Apple iPhone 15,,2025-01-10 21:37:31,21.0,Friday,1,Viernes
IMG_3555,IMG_3555.HEIC,Video,Interno (Captura Propia),2025:01:10 21:37:38,-34.60004722222222,-58.39102222222222,Apple iPhone 15,,2025-01-10 21:37:38,21.0,Friday,1,Viernes
IMG_3556,IMG_3556.xmp,Video,Interno (Captura Propia),2025:01:10 21:37:39,-34.60004722222222,-58.39102222222222,Apple iPhone 15,,2025-01-10 21:37:39,21.0,Friday,1,Viernes
IMG_3558,IMG_3558.HEIC,Video,Interno (Captura Propia),2025:01:10 21:37:49,-34.60005555555556,-58.39101111111111,Apple iPhone 15,2 sec 766 ms,2025-01-10 21:37:49,21.0,Friday,1,Viernes
IMG_3560,IMG_3560.mov,Video,Interno (Captura Propia),2025:01:10 22:03:44,-34.60038333333333,-58.39129166666667,Apple iPhone 15,,2025-01-10 22:03:44,22.0,Friday,1,Viernes
IMG_3563,IMG_3563.mov,Video,Interno (Captura Propia),2025:01:10 22:14:44,-34.60027777777778,-58.3912,Apple iPhone 15,,2025-01-10 22:14:44,22.0,Friday,1,Viernes
